Title,TeacherName,Description,Degree,Co-researchers
Xây dựng hệ thống gợi ý sử dụng các kỹ thuật học máy (Build Recommendation system based on machine learning techniques),Ban Hà Bằng,"Hệ thống gợi ý sử dụng các tri thức về sản phẩm, các tri thức của chuyên gia hay tri thức khai phá học được từ hành vi con người dùng để đưa ra các gợi ý về sản phẩm. Một số ví dụ: hệ thống gợi ý của amazon, hệ thống gợi ý friends của FB. Nghiên cứu về các hướng tiếp cận xây dựng hệ thống gợi ý. Áp dụng kỹ thuật học máy, học sâu vào hệ thống gợi ý. Cài đặt và thử nghiệm trên dữ liệu thực tế. Có cơ hội ứng dụng sản phẩm vào thực tế.","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Xây dựng hệ thống mã hóa E2E,Ban Hà Bằng,"Xây dựng hệ thống mã hóa E2E, ví dụ signals, whatsapp. Cải tiến mô hình mã hóa E2E hiện có. Có cơ hội ứng dụng sản phẩm vào thực tế.","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Xây dựng hệ thống đánh giá tín dụng,Ban Hà Bằng,"Hệ thống đánh giá tín dụng tự động dựa trên học máy. Áp dụng kỹ thuật học máy, học sâu vào hệ thống đánh giá tín dụng. Cài đặt và thử nghiệm trên dữ liệu thực tế. Có cơ hội ứng dụng sản phẩm vào thực tế.","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Nghiên cứu thuật toán tiến hóa giải bài toán tối ưu rời rạc trong lĩnh vực kinh tế và logistic,Ban Hà Bằng,"Nghiên cứu các hướng tiếp cận giải các bài toán tối ưu hóa, đặc biệt trong lĩnh vực logistic. Giải quyết các bài toán tối ưu logistic trong doanh nghiệp. Có cơ hội làm việc trong môi trường thực tế và tối ưu hóa giao vận. Có cơ hội ứng dụng sản phẩm vào thực tế.","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Xây dựng hệ thống phát hiện và nhận dạng malware tự động,Ban Hà Bằng,"Nghiên cứu các phương pháp nhận dạng malware. Nghiên cứu về cơ sở dữ liệu malware thực tế từ các tập đoàn công nghệ. Áp dụng kỹ thuật học máy, học sâu vào bài toán phát hiện và phân loại malware. Cài đặt mô phỏng và thử nghiệm trong thực tế. Có cơ hội ứng dụng sản phẩm vào thực tế.","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Xây dựng chatbot dựa trên AI techniques,Ban Hà Bằng,"Xây dựng chatbot tự động dựa trên học máy. Áp dụng kỹ thuật học máy, học sâu vào cá nhân hóa chatbot. Cài đặt và thử nghiệm trên dữ liệu thực tế. Có cơ hội ứng dụng sản phẩm vào thực tế.","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Kiểm thử tự động cho mô hình yêu cầu của phần mềm,Bùi Thị Mai Anh,,"ThSKH, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, KSCLC, CN, HEDSPI",
Sinh dữ liệu kiểm thử tự động cho mã nguồn Java,Bùi Thị Mai Anh,,"ThSKH, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, LATS, KSCLC, CN, HEDSPI",
Dự đoán lỗi từ phân tích log và mã nguồn,Bùi Thị Mai Anh,,"ThSKH, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, LATS, KSCLC, CN, ThSKT, HEDSPI",
Phát hiện lỗi trong mã nguồn tự động,Bùi Thị Mai Anh,,"CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, KSCLC, CN, HEDSPI",
"Đề tài thuộc nhóm ứng dụng trí tuệ nhân tạo, CMS, E-Commerce",Bùi Thị Mai Anh,,"KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, KSCLC, CN, HEDSPI",
"Xây dựng các hệ thống, ứng dụng trên nền Web",Cao Tuấn Dũng,"Đề tài mở - cho mọi loại hệ thống thông tin, ứng dụng trong quản lý, giải trí, hay các lĩnh vực đặc thù chạy trên nền Web. Sinh viên có thể đề xuất, trao đổi với giảng viên về đề tài. Khuyến khích các đề tài có ý tưởng mới, không lặp lại các đề tài đã được nhiều đồ án thực hiện trong quá khứ, các đề tài gắn với thực tế.","CNKT, KSCQ, SIE, KSTN, CTTT, Viet-Phap, KSCLC, CN, HEDSPI",
