Title,TeacherName,Description,Degree,Co-researchers
Tiến hóa đa nhiệm trong định tuyến hai điểm của mạng đa miền,Đỗ Tuấn Anh,"Định tuyến (routing) là quá trình chọn lựa đường đi từ điểm nguồn đến điểm đích. Việc định tuyến được thực hiện trên mạng truyền thông là vẫn đề cốt lỗi của hệ thống mạng. Trong các mạng đơn miền hay mạng cùng chung phương thức quản lý và vận hành, các thông tin của mạng được chia sẻ nên việc định tuyến trở nên dễ dàng và hiệu quả cao trong việc sử dụng tài nguyên. Tuy nhiên, vấn đề định tuyến trong mạng gồm nhiều mạng con kết nối nhưng hạn chế trong việc chia sẻ thông tin tài nguyên (mạng đa miền) là một thách thức khi thực hiện định tuyến tối ưu với các ràng buộc liên quan đến tài nguyên trong mạng. Phát triển giải thuật tiến hóa đa nhiệm giải bài toán định tuyến hai điểm trong mạng đa miền với ràng buộc miền duy nhất","CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, CN, HEDSPI",
Phát triển giải thuật tiến hóa trong định tuyến hai điểm của mạng đa miền,Đỗ Tuấn Anh,"Định tuyến (routing) là quá trình chọn lựa đường đi từ điểm nguồn đến điểm đích. Việc định tuyến được thực hiện trên mạng truyền thông là vẫn đề cốt lỗi của hệ thống mạng. Trong các mạng đơn miền hay mạng cùng chung phương thức quản lý và vận hành, các thông tin của mạng được chia sẻ nên việc định tuyến trở nên dễ dàng và hiệu quả cao trong việc sử dụng tài nguyên. Tuy nhiên, vấn đề định tuyến trong mạng gồm nhiều mạng con kết nối nhưng hạn chế trong việc chia sẻ thông tin tài nguyên (mạng đa miền) là một thách thức khi thực hiện định tuyến tối ưu với các ràng buộc liên quan đến tài nguyên trong mạng. Phát triển giải thuật tiến hóa giải bài toán định tuyến hai điểm trong mạng đa miền với ràng buộc miền duy nhất","CNKT, KSCQ, SIE, CNKH, KSCLC, CN, HEDSPI",
Bài toán định tuyến đa điểm đến trong mạng đa miền,Đỗ Tuấn Anh,"Multicast là quá trình chọn lựa đường đi từ điểm nguồn đến nhiều điểm đích. Việc định tuyến được thực hiện trên mạng truyền thông là vẫn đề cốt lỗi của hệ thống mạng. Trong các mạng đơn miền hay mạng cùng chung phương thức quản lý và vận hành, các thông tin của mạng được chia sẻ nên việc định tuyến trở nên dễ dàng và hiệu quả cao trong việc sử dụng tài nguyên. Tuy nhiên, vấn đề định tuyến trong mạng gồm nhiều mạng con kết nối nhưng hạn chế trong việc chia sẻ thông tin tài nguyên (mạng đa miền) là một thách thức khi thực hiện định tuyến tối ưu với các ràng buộc liên quan đến tài nguyên trong mạng. Phát triển giải thuật tiến hóa giải bài toán định tuyến nhiều điểm đến trong mạng đa miền với ràng buộc miền duy nhất","CNKT, KSCQ, SIE, KSTN, CNKH, KSCLC, CN, HEDSPI",
Bài toán cây phân cụm Steiner,Đỗ Tuấn Anh,"Trong thiết kế mạng, việc định tuyến để đạt tối ưu sẽ tiết kiệm rất nhiều chi phí và tài nguyên. Vì vậy khi một số các điểm đích được xác định và được phân cụm thì việc tìm đường đi nối giữa các điểm đích và các điểm trung gian sao cho tìm được cây bao chùm các điểm đích có chi phí thấp nhất là bài toán thuộc lớp NP khó. Vì vậy tiếp cận giải thuật tiến hóa để giải bài toán trên là hướng các nhà nghien cứu thường áp dụng để giải các bài toán tối ưu như trên.","CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, KSCLC, CN, HEDSPI",
Mạng cảm biến không dây,Bành Thị Quỳnh Mai,"Thu thập, đo đạc dữ liệu mạng cảm biến không dây WSN, tối ưu hoá hoạt động mạng cảm biến không dây trong IoT","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Lập trình Web; Lập trình di động; Lập trình Game,Bành Thị Quỳnh Mai,Sử dụng các framework như laravel tạo các trang web theo yêu cầu Lập trình các ứng dụng trên di động Lập trình game,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",Gameloft
Quản trị mạng,Bành Thị Quỳnh Mai,Quản trị mạng doanh nghiệp vừa và nhỏ,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Xây dựng bộ công cụ quét rà soát lỗ hổng Website,Bùi Trọng Tùng,Xây dựng bộ công cụ quét rà soát lỗ hổng Website. Yêu cầu chung: - Sinh viên có kiến thức cơ bản về lập trình Web - Tìm hiểu về các công cụ quét lỗ hổng Website - Xây dựng bộ công cụ quét và quản lý lỗ hổng,"CNTH, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, KSCLC, CN, HEDSPI",
Xây dựng giải pháp kiểm soát truy cập cho dịch vụ Web,Bùi Trọng Tùng,"Yêu cầu chung: - Sinh viên có kỹ năng lập trình Web - Hệ thống cần có các tính năng: 1. Xác thực đa yếu tố 2. Quản trị phân quyền theo vai trò 3. Hỗ trợ các giao thức OpenID Connect, OAuth","CNTH, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, KSCLC, CN, HEDSPI",
"Tích hợp các giải pháp xác thực người dùng trên ứng dụng Web(chứng chỉ số, Single Sign On)",Bùi Trọng Tùng,"Yêu cầu chung: - Có kiến thức về mật mã học, các giao thức mật mã - Có khả năng lập trình Web(PHP, HTML/JavaScript) - Sinh viên cần liên hệ với giáo viên để trao đổi thông tin chi tiết trước khi đăng ký(tungbt@soict.hust.edu.vn)","CNTH, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, KSCLC, CN, HEDSPI",
