pk_thesis_id,fk_teacher_id,degree,normalized_no_coresearchers_attribute,related_major,pk_teacher_id,normalized_degrees_point_attribute,normalized_age_attribute,normalized_no_researches_attribute,normalized_no_awards_attribute
1,1,,0.0,Khoa học Máy tính,1,0.5909090909090909,0.6097560975609756,0.5,0.5
2,1,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, HEDSPI",0.0,Khoa học Máy tính,1,0.5909090909090909,0.6097560975609756,0.5,0.5
3,1,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",0.0,Truyền thông và Mạng máy tính,1,0.5909090909090909,0.6097560975609756,0.5,0.5
4,1,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, HEDSPI",0.0,Khoa học Máy tính,1,0.5909090909090909,0.6097560975609756,0.5,0.5
5,1,,0.0,Khoa học Máy tính,1,0.5909090909090909,0.6097560975609756,0.5,0.5
6,1,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, HEDSPI",0.0,Khoa học Máy tính,1,0.5909090909090909,0.6097560975609756,0.5,0.5
7,1,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, HEDSPI",0.0,Khoa học Máy tính,1,0.5909090909090909,0.6097560975609756,0.5,0.5
284,1,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, HEDSPI",0.0,Khoa học Máy tính,1,0.5909090909090909,0.6097560975609756,0.5,0.5
285,1,"ThSKH, CNKT, KSCQ, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, HEDSPI",0.0,Khoa học Máy tính,1,0.5909090909090909,0.6097560975609756,0.5,0.5
286,1,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",0.0,Khoa học Máy tính,1,0.5909090909090909,0.6097560975609756,0.5,0.5
8,2,"VB2, SIE, CTTT, CN, VLVH",0.0,Kỹ thuật Máy tính,2,0.5454545454545454,0.6585365853658537,0.9444444444444444,0.0
9,2,"VB2, KSCQ, SIE, CTTT, CN, HEDSPI",0.0,Công nghệ Phần mềm,2,0.5454545454545454,0.6585365853658537,0.9444444444444444,0.0
10,2,"VB2, CNKT, KSCQ, SIE, CTTT",0.0,Khoa học Máy tính,2,0.5454545454545454,0.6585365853658537,0.9444444444444444,0.0
11,2,"VB2, CNKT, KSCQ, SIE, CTTT, CN, ThSKT",0.0,Khoa học Máy tính,2,0.5454545454545454,0.6585365853658537,0.9444444444444444,0.0
12,2,"KSCQ, SIE, CTTT, CN, HEDSPI",0.0,Khoa học Máy tính,2,0.5454545454545454,0.6585365853658537,0.9444444444444444,0.0
13,3,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",0.0,Khoa học Máy tính,3,0.5454545454545454,0.7073170731707317,0.5,0.25
14,3,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",0.0,Kỹ thuật Máy tính,3,0.5454545454545454,0.7073170731707317,0.5,0.25
15,3,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",0.0,Kỹ thuật Máy tính,3,0.5454545454545454,0.7073170731707317,0.5,0.25
16,3,"ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",0.0,Khoa học Máy tính,3,0.5454545454545454,0.7073170731707317,0.5,0.25
17,3,"ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",0.0,Khoa học Máy tính,3,0.5454545454545454,0.7073170731707317,0.5,0.25
18,3,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",0.0,Kỹ thuật Máy tính,3,0.5454545454545454,0.7073170731707317,0.5,0.25
19,3,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",0.0,Khoa học Máy tính,3,0.5454545454545454,0.7073170731707317,0.5,0.25
20,3,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",0.0,Khoa học Máy tính,3,0.5454545454545454,0.7073170731707317,0.5,0.25
21,3,"TT, ĐATN, TTTN, ĐAMH",0.0,Khoa học Máy tính,3,0.5454545454545454,0.7073170731707317,0.5,0.25
22,3,"TT, ĐATN, TTTN, ĐAMH, SV NCKH",0.0,Khoa học Máy tính,3,0.5454545454545454,0.7073170731707317,0.5,0.25
23,3,"TT, ĐATN, TTTN, ĐAMH",0.0,Khoa học Máy tính,3,0.5454545454545454,0.7073170731707317,0.5,0.25
24,3,"TT, ĐATN, TTTN, ĐAMH, SV NCKH",0.0,Khoa học Máy tính,3,0.5454545454545454,0.7073170731707317,0.5,0.25
