1,Nguyễn Thị Oanh,Hệ thống Thông tin,"Tiến sỹ (Khoa học Máy tính - Đại học Nancy 2 - Pháp - 2010), Thạc sỹ (Viện Tin học Pháp ngữ - 2004), Thạc sỹ (Trường Đại học Bách khoa Hà Nội - 2001)","Thị giác máy tính, Truy vấn dựa trên nội dung","Phát hiện và nhận dạng đối tương, Nhận dạng hoạt động, Truy vấn thông tin đa phương tiện",18,4
2,Nguyễn Thị Thu Hương,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2011), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2006), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2003)","Xử lý ngôn ngư tự nhiên, Lý thuyết tính toán, Chương trình dịch","Biểu diễn cú pháp của ngôn ngữ tự nhiên, Dịch máy, Trích chọn thông tin, Ngôn ngữ ẩm thực, Hệ gợi ý",34,0
3,Nguyễn Thị Thu Trang,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2015), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2007), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2005)","Tổng hợp giọng nói, Xử lý ngôn ngữ tự nhiên","Tổng Hợp Diễn Văn Biểu Cảm, Thích ứng loa, Tóm tắt văn bản, Hiểu ngôn ngữ tự nhiên, Quản lý hộp thoại trong HCI",18,2
4,Nguyễn Tiến Thành,Khoa học Máy tính,"Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2011), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2008)","Công nghệ phần mềm, Tính toán hiệu năng cao, Mạng điều khiển tự động","Mô hình hoá phần mềm, Kiểm chứng mô hình, Học máy, Giao diện truyền thông điệp, Lập trình đa tuyến, Mạng định nghĩa bởi phần mềm, Ảo hoá chức năng của mạng",13,0
5,Ngô Văn Linh,Khoa học Máy tính,"Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2013), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2011)","Học máy, Khai phá dữ liệu, Mô hình đồ thị xác suất, Hệ gợi ý","Mô hình chủ đề, Phân loại và phân cụm, Suy diễn biến phân, Xấp xỉ ngẫu nhiên, Học dòng liên tục, Hệ gợi ý",11,1
6,Phạm Quang Dũng,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2011), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2006), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2003)","Tối ưu hóa tổ hợp, Thuật toán và đồ thị","Các vấn đề tối ưu hóa trong lĩnh vực kho vận, Bài toán đóng gói và lập lịch, Các kỹ thuật quy hoạch ràng buộc, quy hoạch hỗn hợp, tìm kiếm cục bộ",15,1
7,Phạm Văn Hải,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2011), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2006), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2003)","Ứng dụng trí tuệ nhân tạo, Học máy, Tính toán mềm, Phân tích dữ liệu lớn, Ứng dụng hệ mờ, Hệ thống thông minh lai, Tích hợp hệ thống","Ứng dụng trí tuệ nhân tạo, Học máy, Tính toán mềm, Phân tích dữ liệu lớn, Ứng dụng hệ mờ, Hệ thống thông minh lai, Tích hợp hệ thống",25,8
8,Thân Quang Khoát,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2013), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2009), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2004)","Trí tuệ nhân tạo, Khoa học dữ liệu, Khoa học máy tính","Học máy, Học biểu diễn, Học liên tục, Hệ gợi ý, Quảng cáo trực tuyến, Dữ liệu lớn",17,4
9,Trần Việt Trung,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2013), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2009), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2008)","Dữ liệu lớn, Hiểu ngôn ngữ tự nhiên, Học máy ứng dụng","Quản lý dữ liệu phân tán, Phân tích dữ liệu lớn, Bất động sản, Khoa học sức khỏe, Thị trường lao động, Thị trường tài chính",14,1
10,Trần Vĩnh Đức,Khoa học Máy tính,"Tiến sĩ (Khoa học máy tính - Trường Đại học Nice – Sophia Antipolis - CH Pháp - 2011), Thạc sĩ (Công nghệ thông tin - Viện tin học Pháp ngữ - 2006), Cử nhân (Tin học, Đại học Thăng Long - 2002)","Mật mã ứng dụng, Độ phức tạp tính toán","Mật mã ứng dụng, Độ phức tạp tính toán",19,0
